Team Names,Maps,Maps,Maps,Atk Rounds,Atk Rounds,Atk Rounds,Def Rounds,Def Rounds,Def Rounds,Pistol Rounds,Pistol Rounds,Pistol Rounds
Team,Played,Won,Won %,Played,Won,Won %,Played,Won,Won %,Played,Won,Won %
Gamelanders Purple,42,37,88.1%,420,277,65.95%,399,252,63.16%,84,56,66.67%
Team Liquid,27,23,85.19%,259,154,59.46%,307,178,57.98%,54,37,68.52%
SoaR,52,43,82.69%,499,293,58.72%,556,329,59.17%,104,66,63.46%
Team Vitality,27,22,81.48%,307,168,54.72%,275,161,58.55%,54,30,55.56%
LDN Utd,47,36,76.6%,469,273,58.21%,497,300,60.36%,94,53,56.38%
BIG,38,29,76.32%,369,216,58.54%,386,237,61.4%,76,46,60.53%
Kansas City Pioneers,41,31,75.61%,421,253,60.1%,438,248,56.62%,82,46,56.1%
Acend,36,27,75%,408,254,62.25%,359,190,52.92%,72,45,62.5%
NRG Esports,27,20,74.07%,270,123,45.56%,297,206,69.36%,54,33,61.11%
Border Monsters,26,19,73.08%,243,136,55.97%,269,164,60.97%,52,31,59.62%
Alliance,37,27,72.97%,361,205,56.79%,402,232,57.71%,74,41,55.41%
Akrew,51,36,70.59%,439,234,53.3%,573,382,66.67%,100,65,65%
Gambit Esports,26,18,69.23%,286,164,57.34%,245,136,55.51%,52,29,55.77%
TSM FTX Academy,48,33,68.75%,458,268,58.52%,521,286,54.89%,94,55,58.51%
Pittsburgh Knights,86,59,68.6%,862,483,56.03%,906,520,57.4%,172,96,55.81%
One Breath Gaming,33,22,66.67%,388,207,53.35%,313,160,51.12%,66,37,56.06%
Giants Gaming,27,18,66.67%,258,149,57.75%,270,159,58.89%,54,30,55.56%
Complexity,86,57,66.28%,852,479,56.22%,851,478,56.17%,172,93,54.07%
Ghost Gaming,47,31,65.96%,484,260,53.72%,514,288,56.03%,94,53,56.38%
Immortals,47,31,65.96%,500,271,54.2%,456,258,56.58%,92,52,56.52%
Renegades,89,58,65.17%,941,521,55.37%,927,519,55.99%,179,93,51.96%
IVY,51,33,64.71%,525,295,56.19%,571,303,53.06%,102,56,54.9%
Soniqs,93,60,64.52%,977,527,53.94%,1000,563,56.3%,186,104,55.91%
Cosmic Divide,67,43,64.18%,710,392,55.21%,727,393,54.06%,134,82,61.19%
DarkZero Esports,71,45,63.38%,739,417,56.43%,714,384,53.78%,142,79,55.63%
